date,ticker,open,high,low,close,adjClose,volume,return,relative_trading_day,film,event_stage,announced_event_date
2021-11-23,SONY,24.393999099731445,24.54199981689453,24.04599952697754,24.356000900268555,23.813343048095703,3755500,-0.0050654992602768845,5,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-09,SPY,469.32000732421875,469.57000732421875,465.8800048828125,467.3800048828125,438.2271423339844,51149100,-0.003305442670285208,-5,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-10,SPY,465.5799865722656,467.3800048828125,462.0400085449219,463.6199951171875,434.7017517089844,69429700,-0.008044665162052489,-4,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-11,SPY,465.2099914550781,465.2900085449219,463.75,463.7699890136719,434.84234619140625,34848500,0.0003234274577204044,-3,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-12,SPY,465.1199951171875,467.8599853515625,464.1099853515625,467.2699890136719,438.1239929199219,53466700,0.007546750580430306,-2,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-15,SPY,468.6400146484375,468.80999755859375,466.2300109863281,467.42999267578125,438.27398681640625,46980500,0.0003423549015992844,-1,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-16,SPY,467.1499938964844,470.489990234375,467.07000732421875,469.2799987792969,440.0086669921875,48857500,0.003957981144128153,0,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-17,SPY,469.0,469.19000244140625,467.4800109863281,468.1400146484375,438.9397277832031,47858300,-0.002429359440329737,1,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-18,SPY,469.239990234375,470.010009765625,466.3399963378906,469.7300109863281,440.4306335449219,50625600,0.003396607022217779,2,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-19,SPY,469.6099853515625,470.94000244140625,468.5,468.8900146484375,439.6429443359375,57315600,-0.0017884523668221242,3,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-22,SPY,470.8900146484375,473.5400085449219,467.3500061035156,467.57000732421875,438.4053039550781,72762000,-0.0028151034761373372,4,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-11-23,SPY,467.2200012207031,469.1000061035156,464.45001220703125,468.19000244140625,438.98663330078125,73206500,0.0013260089247522089,5,Spider-Man: No Way Home,Official trailer,2021-11-16
2021-12-10,SONY,24.559999465942383,24.670000076293945,24.444000244140625,24.652000427246094,24.102752685546875,2009000,0.0033375020018262536,-5,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-13,SONY,24.503999710083008,24.56399917602539,24.107999801635742,24.118000030517578,23.580646514892578,2444500,-0.021661682276123417,-4,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-14,SONY,24.1200008392334,24.20599937438965,23.895999908447266,24.121999740600586,23.584556579589844,1742500,0.00016581668762971624,-3,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-15,SONY,24.47800064086914,24.799999237060547,24.24799919128418,24.770000457763672,24.218122482299805,4096500,0.026863591883607985,-2,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-16,SONY,24.72800064086914,24.802000045776367,24.31599998474121,24.441999435424805,23.897428512573242,3902000,-0.013241900562727227,-1,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-17,SONY,24.280000686645508,24.527999877929688,24.18199920654297,24.22599983215332,23.686243057250977,3053500,-0.00883716234201326,0,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-20,SONY,23.72800064086914,23.899999618530273,23.54800033569336,23.790000915527344,23.259958267211914,2563000,-0.017997146656340113,1,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-21,SONY,23.959999084472656,24.238000869750977,23.802000045776367,24.110000610351562,23.57282829284668,4182500,0.013451014057742183,2,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-22,SONY,24.302000045776367,24.715999603271484,24.302000045776367,24.6200008392334,24.07146453857422,3333000,0.02115300885973248,3,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-23,SONY,24.75,24.854000091552734,24.621999740600586,24.77199935913086,24.220075607299805,2572000,0.006173744372198087,4,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-27,SONY,25.016000747680664,25.479999542236328,24.947999954223633,25.441999435424805,24.87514877319336,2741000,0.02704670193911851,5,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-10,SPY,469.2300109863281,470.8999938964844,466.510009765625,470.739990234375,441.37750244140625,77159800,0.009413336597762445,-5,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-13,SPY,470.19000244140625,470.55999755859375,466.2699890136719,466.57000732421875,437.4676818847656,87724700,-0.008858223482198557,-4,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-14,SPY,463.0899963378906,465.739990234375,460.25,463.3599853515625,434.4578857421875,97264100,-0.006880042268747388,-3,Spider-Man: No Way Home,US theatrical release,2021-12-17
2021-12-15,SPY,463.4200134277344,470.8599853515625,460.739990234375,470.6000061035156,441.246337890625,116899300,0.01562510975451792,-2,Spider-Man: No Way Home,US theatrical release,2021-12-17
