date,ticker,sector,sentiment,sector_augmented_sentiment,observed_news,article_count,reliability,usable_sentiment_lag1,usable_reliability_lag1
2020-09-10,INTC,Tech,0.13145,0.13145,1,4.0,0.4491222008519636,0.4756666666666667,0.3868528072345416
2020-09-11,INTC,Tech,0.3056,0.3056,1,2.0,0.30657359638272924,0.13145,0.4491222008519636
2020-09-14,INTC,Tech,0.03823749999999999,0.03823749999999999,1,8.0,0.5,0.3056,0.30657359638272924
2020-09-15,INTC,Tech,-0.27446666666666664,-0.27446666666666664,1,3.0,0.3868528072345416,0.03823749999999999,0.5
2020-09-16,INTC,Tech,0.6597,0.6597,1,1.0,0.1934264036172708,-0.27446666666666664,0.3868528072345416
2020-09-17,INTC,Tech,0.15293333333333334,0.15293333333333334,1,3.0,0.3868528072345416,0.6597,0.1934264036172708
2020-09-18,INTC,Tech,0.0,0.0,0,0.0,0.0,0.15293333333333334,0.3868528072345416
2020-09-21,INTC,Tech,0.1909,0.1909,1,2.0,0.30657359638272924,0.0,0.0
2020-09-22,INTC,Tech,-0.11333333333333334,-0.11333333333333334,1,3.0,0.3868528072345416,0.1909,0.30657359638272924
2020-09-23,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,-0.11333333333333334,0.3868528072345416
2020-09-24,INTC,Tech,0.21487499999999998,0.21487499999999998,1,4.0,0.4491222008519636,0.0,0.1934264036172708
2020-09-25,INTC,Tech,0.0,0.0,1,2.0,0.30657359638272924,0.21487499999999998,0.4491222008519636
2020-09-28,INTC,Tech,0.2948,0.2948,1,4.0,0.4491222008519636,0.0,0.30657359638272924
2020-09-29,INTC,Tech,0.14049999999999999,0.14049999999999999,1,3.0,0.3868528072345416,0.2948,0.4491222008519636
2020-09-30,INTC,Tech,0.2621,0.2621,1,3.0,0.3868528072345416,0.14049999999999999,0.3868528072345416
2020-10-01,INTC,Tech,0.0,0.0,0,0.0,0.0,0.2621,0.3868528072345416
2020-10-02,INTC,Tech,0.23584,0.23584,1,5.0,0.5,0.0,0.0
2020-10-05,INTC,Tech,0.17626,0.24850000000000003,1,5.0,0.5,0.23584,0.5
2020-10-06,INTC,Tech,-0.08333333333333333,0.03706666666666667,1,3.0,0.3868528072345416,0.17626,0.5
