date,sector,sentiment,observed_only_sentiment,coverage_rate,article_count,ticker_count,usable_sentiment_lag1
2021-11-30,Consumer,0.19058066666666668,0.23822583333333336,0.8,17.0,5,0.04122575757575757
2021-12-01,Consumer,-0.080848,-0.080848,1.0,21.0,5,0.19058066666666668
2021-12-02,Consumer,0.20409928571428573,0.25512410714285716,0.8,17.0,5,-0.080848
2021-12-03,Consumer,0.24412514285714285,0.30515642857142855,0.8,16.0,5,0.20409928571428573
2021-12-06,Consumer,0.07901809523809525,0.07901809523809525,1.0,27.0,5,0.24412514285714285
2021-12-07,Consumer,-0.027633333333333343,-0.027633333333333343,1.0,14.0,5,0.07901809523809525
2021-12-08,Consumer,0.05685333333333333,0.07106666666666667,0.8,14.0,5,-0.027633333333333343
2021-12-09,Consumer,0.13745500000000002,0.13745500000000002,1.0,20.0,5,0.05685333333333333
2021-12-10,Consumer,0.09339,0.1167375,0.8,8.0,5,0.13745500000000002
2021-12-13,Consumer,0.05103,0.05103,1.0,21.0,5,0.09339
2021-12-14,Consumer,0.10391733333333333,0.10391733333333333,1.0,20.0,5,0.05103
2021-12-15,Consumer,0.30734500000000003,0.30734500000000003,1.0,18.0,5,0.10391733333333333
2021-12-16,Consumer,0.24237000000000003,0.3029625,0.8,10.0,5,0.30734500000000003
2021-12-17,Consumer,0.10430390476190476,0.10430390476190476,1.0,29.0,5,0.24237000000000003
2021-12-20,Consumer,0.14251429864253395,0.14251429864253395,1.0,38.0,5,0.10430390476190476
2021-12-21,Consumer,0.07932982456140351,0.0991622807017544,0.8,31.0,5,0.14251429864253395
2021-12-22,Consumer,0.016043333333333347,0.020054166666666682,0.8,14.0,5,0.07932982456140351
2021-12-23,Consumer,0.07442249999999999,0.07442249999999999,1.0,16.0,5,0.016043333333333347
2021-12-27,Consumer,0.060158333333333314,0.060158333333333314,1.0,24.0,5,0.07442249999999999
2021-12-28,Consumer,0.086561,0.10820125,0.8,18.0,5,0.060158333333333314
2021-12-29,Consumer,0.07671666666666668,0.09589583333333335,0.8,15.0,5,0.086561
2021-12-30,Consumer,0.08424999999999999,0.08424999999999999,1.0,19.0,5,0.07671666666666668
2021-12-31,Consumer,0.07964333333333333,0.07964333333333333,1.0,12.0,5,0.08424999999999999
2022-01-03,Consumer,0.0528665,0.0528665,1.0,22.0,5,0.07964333333333333
2022-01-04,Consumer,0.020095,0.03349166666666666,0.6,7.0,5,0.0528665
2022-01-05,Consumer,0.053690555555555575,0.053690555555555575,1.0,22.0,5,0.020095
2022-01-06,Consumer,0.15405466666666667,0.15405466666666667,1.0,17.0,5,0.053690555555555575
2022-01-07,Consumer,0.007654999999999995,0.007654999999999995,1.0,18.0,5,0.15405466666666667
2022-01-10,Consumer,0.08441433333333333,0.08441433333333333,1.0,25.0,5,0.007654999999999995
2022-01-11,Consumer,0.13477333333333336,0.13477333333333336,1.0,9.0,5,0.08441433333333333
2022-01-12,Consumer,0.11597333333333334,0.11597333333333334,1.0,20.0,5,0.13477333333333336
2022-01-13,Consumer,0.255645,0.255645,1.0,12.0,5,0.11597333333333334
2022-01-14,Consumer,0.006237499999999998,0.006237499999999998,1.0,24.0,5,0.255645
2022-01-18,Consumer,0.032895820512820514,0.032895820512820514,1.0,39.0,5,0.006237499999999998
2022-01-19,Consumer,0.064398,0.064398,1.0,24.0,5,0.032895820512820514
2022-01-20,Consumer,0.10373746031746031,0.10373746031746031,1.0,27.0,5,0.064398
2022-01-21,Consumer,0.17377156862745097,0.17377156862745097,1.0,32.0,5,0.10373746031746031
2022-01-24,Consumer,0.128442,0.128442,1.0,30.0,5,0.17377156862745097
2022-01-25,Consumer,0.08263966666666667,0.08263966666666667,1.0,20.0,5,0.128442
2022-01-26,Consumer,0.11051176470588235,0.11051176470588235,1.0,26.0,5,0.08263966666666667
2022-01-27,Consumer,0.01929738095238095,0.01929738095238095,1.0,18.0,5,0.11051176470588235
2022-01-28,Consumer,0.0004079999999999995,0.0005099999999999994,0.8,10.0,5,0.01929738095238095
2022-01-31,Consumer,0.13369066666666668,0.13369066666666668,1.0,31.0,5,0.0004079999999999995
2022-02-01,Consumer,-0.07589166666666666,-0.07589166666666666,1.0,31.0,5,0.13369066666666668
2022-02-02,Consumer,-0.054716666666666657,-0.054716666666666657,1.0,18.0,5,-0.07589166666666666
2022-02-03,Consumer,0.2271516666666667,0.2271516666666667,1.0,11.0,5,-0.054716666666666657
2022-02-04,Consumer,0.08700666666666666,0.08700666666666666,1.0,15.0,5,0.2271516666666667
2022-02-07,Consumer,0.10649736363636364,0.10649736363636364,1.0,43.0,5,0.08700666666666666
2022-02-08,Consumer,0.16807369696969698,0.16807369696969698,1.0,31.0,5,0.10649736363636364
2022-02-09,Consumer,0.07450680952380953,0.07450680952380953,1.0,34.0,5,0.16807369696969698
2022-02-10,Consumer,0.16207722360248447,0.16207722360248447,1.0,49.0,5,0.07450680952380953
2022-02-11,Consumer,-0.003964999999999998,-0.003964999999999998,1.0,28.0,5,0.16207722360248447
2022-02-14,Consumer,0.11725400793650795,0.11725400793650795,1.0,49.0,5,-0.003964999999999998
2022-02-15,Consumer,0.20528138888888892,0.20528138888888892,1.0,22.0,5,0.11725400793650795
2022-02-16,Consumer,0.16758466666666666,0.16758466666666666,1.0,24.0,5,0.20528138888888892
2022-02-17,Consumer,0.04812688405797101,0.04812688405797101,1.0,37.0,5,0.16758466666666666
2022-02-18,Consumer,0.02026083333333334,0.02026083333333334,1.0,21.0,5,0.04812688405797101
2022-02-22,Consumer,0.09689280952380953,0.09689280952380953,1.0,26.0,5,0.02026083333333334
2022-02-23,Consumer,-0.010833333333333316,-0.010833333333333316,1.0,11.0,5,0.09689280952380953
2022-02-24,Consumer,0.022710000000000008,0.022710000000000008,1.0,23.0,5,-0.010833333333333316
2022-02-25,Consumer,0.09116333333333333,0.09116333333333333,1.0,14.0,5,0.022710000000000008
2022-02-28,Consumer,0.18869734065934066,0.18869734065934066,1.0,34.0,5,0.09116333333333333
2022-03-01,Consumer,0.03670595238095238,0.03670595238095238,1.0,22.0,5,0.18869734065934066
2022-03-02,Consumer,0.1420520634920635,0.1420520634920635,1.0,22.0,5,0.03670595238095238
2022-03-03,Consumer,0.08503171428571428,0.08503171428571428,1.0,17.0,5,0.1420520634920635
2022-03-04,Consumer,0.07359085714285715,0.07359085714285715,1.0,26.0,5,0.08503171428571428
2022-03-07,Consumer,0.11972452380952381,0.11972452380952381,1.0,24.0,5,0.07359085714285715
2022-03-08,Consumer,0.17687952380952382,0.17687952380952382,1.0,20.0,5,0.11972452380952381
2022-03-09,Consumer,0.04164821428571429,0.04164821428571429,1.0,32.0,5,0.17687952380952382
2022-03-10,Consumer,0.07316199999999999,0.07316199999999999,1.0,21.0,5,0.04164821428571429
2022-03-11,Consumer,0.07675266666666666,0.07675266666666666,1.0,23.0,5,0.07316199999999999
2022-03-14,Consumer,0.060792857142857135,0.060792857142857135,1.0,28.0,5,0.07675266666666666
2022-03-15,Consumer,0.14180444444444446,0.14180444444444446,1.0,28.0,5,0.060792857142857135
2022-03-16,Consumer,0.08664166666666666,0.08664166666666666,1.0,25.0,5,0.14180444444444446
2022-03-17,Consumer,0.01987111111111112,0.01987111111111112,1.0,25.0,5,0.08664166666666666
2022-03-18,Consumer,0.11450876190476192,0.11450876190476192,1.0,19.0,5,0.01987111111111112
2022-03-21,Consumer,0.32043066666666664,0.32043066666666664,1.0,36.0,5,0.11450876190476192
2022-03-22,Consumer,0.12839666666666666,0.16049583333333334,0.8,25.0,5,0.32043066666666664
2022-03-23,Consumer,0.10520749999999998,0.13150937499999998,0.8,15.0,5,0.12839666666666666
2022-03-24,Consumer,-0.04295523809523809,-0.04295523809523809,1.0,21.0,5,0.10520749999999998
2022-03-25,Consumer,0.11713083333333332,0.11713083333333332,1.0,22.0,5,-0.04295523809523809
2022-03-28,Consumer,0.1520642261904762,0.1520642261904762,1.0,37.0,5,0.11713083333333332
2022-03-29,Consumer,0.12674083333333336,0.12674083333333336,1.0,24.0,5,0.1520642261904762
2022-03-30,Consumer,0.11848380952380952,0.1481047619047619,0.8,12.0,5,0.12674083333333336
2022-03-31,Consumer,0.051818333333333334,0.051818333333333334,1.0,26.0,5,0.11848380952380952
2022-04-01,Consumer,0.018912761904761904,0.02364095238095238,0.8,23.0,5,0.051818333333333334
2022-04-04,Consumer,0.09617939075630252,0.09617939075630252,1.0,39.0,5,0.018912761904761904
2022-04-05,Consumer,0.08657761904761904,0.08657761904761904,1.0,17.0,5,0.09617939075630252
2022-04-06,Consumer,0.08205333333333334,0.08205333333333334,1.0,15.0,5,0.08657761904761904
2022-04-07,Consumer,0.014387444444444444,0.014387444444444444,1.0,29.0,5,0.08205333333333334
2022-04-08,Consumer,0.14961166666666664,0.14961166666666664,1.0,17.0,5,0.014387444444444444
2022-04-11,Consumer,0.16113292857142858,0.16113292857142858,1.0,33.0,5,0.14961166666666664
2022-04-12,Consumer,0.054097142857142864,0.09016190476190478,0.6,13.0,5,0.16113292857142858
2022-04-13,Consumer,0.012541999999999998,0.012541999999999998,1.0,16.0,5,0.054097142857142864
2022-04-14,Consumer,0.10697214285714285,0.10697214285714285,1.0,21.0,5,0.012541999999999998
2022-04-18,Consumer,0.180084,0.180084,1.0,30.0,5,0.10697214285714285
2022-04-19,Consumer,0.11881254761904761,0.11881254761904761,1.0,25.0,5,0.180084
2022-04-20,Consumer,0.002655333333333345,0.002655333333333345,1.0,28.0,5,0.11881254761904761
2022-04-21,Consumer,0.14994066666666667,0.14994066666666667,1.0,25.0,5,0.002655333333333345
2022-04-22,Consumer,0.15205190476190475,0.15205190476190475,1.0,24.0,5,0.14994066666666667
2022-04-25,Consumer,0.07889566666666667,0.07889566666666667,1.0,58.0,5,0.15205190476190475
2022-04-26,Consumer,0.07064,0.07064,1.0,17.0,5,0.07889566666666667
2022-04-27,Consumer,0.05156588888888889,0.05156588888888889,1.0,28.0,5,0.07064
2022-04-28,Consumer,0.17852833333333334,0.17852833333333334,1.0,13.0,5,0.05156588888888889
2022-04-29,Consumer,0.08041375324675325,0.08041375324675325,1.0,32.0,5,0.17852833333333334
2022-05-02,Consumer,0.11714738095238095,0.11714738095238095,1.0,25.0,5,0.08041375324675325
2022-05-03,Consumer,0.138624,0.138624,1.0,25.0,5,0.11714738095238095
2022-05-04,Consumer,0.07529884057971015,0.07529884057971015,1.0,31.0,5,0.138624
2022-05-05,Consumer,-0.09383695238095235,-0.09383695238095235,1.0,21.0,5,0.07529884057971015
2022-05-06,Consumer,0.035270571428571436,0.035270571428571436,1.0,30.0,5,-0.09383695238095235
2022-05-09,Consumer,0.12882402597402598,0.12882402597402598,1.0,29.0,5,0.035270571428571436
2022-05-10,Consumer,0.10726722222222222,0.10726722222222222,1.0,24.0,5,0.12882402597402598
2022-05-11,Consumer,-0.006159999999999999,-0.006159999999999999,1.0,26.0,5,0.10726722222222222
2022-05-12,Consumer,0.055566568627451,0.055566568627451,1.0,33.0,5,-0.006159999999999999
2022-05-13,Consumer,0.05834904761904762,0.05834904761904762,1.0,22.0,5,0.055566568627451
2022-05-16,Consumer,0.014043583333333335,0.014043583333333335,1.0,60.0,5,0.05834904761904762
2022-05-17,Consumer,0.07641078431372549,0.09551348039215686,0.8,47.0,5,0.014043583333333335
2022-05-18,Consumer,0.011993709677419358,0.011993709677419358,1.0,41.0,5,0.07641078431372549
2022-05-19,Consumer,0.15146,0.15146,1.0,39.0,5,0.011993709677419358
2022-05-20,Consumer,0.13996524844720498,0.13996524844720498,1.0,43.0,5,0.15146
2022-05-23,Consumer,0.0665128354037267,0.0665128354037267,1.0,45.0,5,0.13996524844720498
2022-05-24,Consumer,0.19893866666666668,0.19893866666666668,1.0,28.0,5,0.0665128354037267
2022-05-25,Consumer,0.023675047619047616,0.023675047619047616,1.0,28.0,5,0.19893866666666668
2022-05-26,Consumer,0.09341200000000002,0.09341200000000002,1.0,28.0,5,0.023675047619047616
2022-05-27,Consumer,0.11223100000000001,0.11223100000000001,1.0,17.0,5,0.09341200000000002
2022-05-31,Consumer,0.11048777777777778,0.11048777777777778,1.0,26.0,5,0.11223100000000001
2022-06-01,Consumer,-0.05751166666666667,-0.05751166666666667,1.0,28.0,5,0.11048777777777778
2022-06-02,Consumer,0.18425566666666668,0.18425566666666668,1.0,16.0,5,-0.05751166666666667
2022-06-03,Consumer,0.02904166666666667,0.03630208333333334,0.8,14.0,5,0.18425566666666668
2022-06-06,Consumer,0.09200866666666667,0.11501083333333334,0.8,36.0,5,0.02904166666666667
2022-06-07,Consumer,0.17995916666666667,0.17995916666666667,1.0,30.0,5,0.09200866666666667
2022-06-08,Consumer,0.14513714285714285,0.18142142857142857,0.8,18.0,5,0.17995916666666667
2022-06-09,Consumer,0.004124714285714287,0.004124714285714287,1.0,23.0,5,0.14513714285714285
2022-06-10,Consumer,0.07040472727272727,0.07040472727272727,1.0,24.0,5,0.004124714285714287
2022-06-13,Consumer,0.11722030303030304,0.11722030303030304,1.0,42.0,5,0.07040472727272727
2022-06-14,Consumer,0.07506357142857142,0.09382946428571427,0.8,20.0,5,0.11722030303030304
2022-06-15,Consumer,-0.08924000000000001,-0.08924000000000001,1.0,22.0,5,0.07506357142857142
2022-06-16,Consumer,0.08728777777777778,0.08728777777777778,1.0,22.0,5,-0.08924000000000001
2022-06-17,Consumer,0.14481,0.14481,1.0,17.0,5,0.08728777777777778
2022-06-21,Consumer,0.03636007575757576,0.03636007575757576,1.0,48.0,5,0.14481
2022-06-22,Consumer,0.15841818181818182,0.15841818181818182,1.0,23.0,5,0.03636007575757576
2022-06-23,Consumer,0.14914092857142858,0.14914092857142858,1.0,29.0,5,0.15841818181818182
2022-06-24,Consumer,0.034155000000000005,0.034155000000000005,1.0,24.0,5,0.14914092857142858
2022-06-27,Consumer,0.12972247058823527,0.12972247058823527,1.0,51.0,5,0.034155000000000005
2022-06-28,Consumer,0.1342383157894737,0.1342383157894737,1.0,37.0,5,0.12972247058823527
2022-06-29,Consumer,0.02253938528138529,0.02253938528138529,1.0,31.0,5,0.1342383157894737
2022-06-30,Consumer,0.18940798534798536,0.18940798534798536,1.0,30.0,5,0.02253938528138529
2022-07-01,Consumer,0.062128928571428564,0.0776611607142857,0.8,18.0,5,0.18940798534798536
2022-07-05,Consumer,0.1129758547008547,0.1129758547008547,1.0,40.0,5,0.062128928571428564
2022-07-06,Consumer,0.12604466666666667,0.12604466666666667,1.0,23.0,5,0.1129758547008547
2022-07-07,Consumer,0.010063333333333337,0.010063333333333337,1.0,17.0,5,0.12604466666666667
2022-07-08,Consumer,-0.057898000000000005,-0.0723725,0.8,12.0,5,0.010063333333333337
2022-07-11,Consumer,0.074488,0.09311,0.8,27.0,5,-0.057898000000000005
2022-07-12,Consumer,0.1937422077922078,0.1937422077922078,1.0,31.0,5,0.074488
2022-07-13,Consumer,0.16275714285714288,0.16275714285714288,1.0,19.0,5,0.1937422077922078
2022-07-14,Consumer,0.176815,0.176815,1.0,23.0,5,0.16275714285714288
2022-07-15,Consumer,0.06927287878787879,0.06927287878787879,1.0,24.0,5,0.176815
2022-07-18,Consumer,0.15176957142857145,0.15176957142857145,1.0,31.0,5,0.06927287878787879
2022-07-19,Consumer,0.10547685714285712,0.10547685714285712,1.0,24.0,5,0.15176957142857145
2022-07-20,Consumer,0.02151642857142858,0.02151642857142858,1.0,22.0,5,0.10547685714285712
2022-07-21,Consumer,0.07194619047619048,0.07194619047619048,1.0,19.0,5,0.02151642857142858
2022-07-22,Consumer,0.16752261904761903,0.16752261904761903,1.0,22.0,5,0.07194619047619048
2022-07-25,Consumer,0.10576264102564104,0.10576264102564104,1.0,43.0,5,0.16752261904761903
